,input_speed,input_torque,voltage,output_speed,output_torque,temp
0,-6.33,0.05,"-4.64718716E-06
",6.20957,0.0507812,26.0
1,-6.33,0.05,"-1.43148491E-05
",8.22216,0.0507812,26.0
2,-12.66,0.05,"-1.46507911E-05
",13.5972,0.0390625,26.0
3,-12.66,0.05,"-8.30522142E-06
",12.1982,0.0390625,26.0
4,-18.990000000000002,0.05,"-1.05821611E-05
",20.6658,0.0429688,26.0
5,-18.990000000000002,0.05,"-1.46881179E-05
",18.8496,0.0507812,26.0
6,-25.32,0.05,"-9.83562351E-06
",27.6363,0.0273438,26.0
7,-25.32,0.05,"-1.00222579E-05
",25.1328,0.0429688,26.0
8,-31.65,0.05,"-9.68631599E-06
",31.4896,0.0507812,26.0
9,-31.65,0.05,"-1.00969117E-05
",34.1894,0.0429688,26.0
10,-37.98,0.05,"-1.99697866E-06
",36.2757,0.0390625,26.0
11,-37.98,0.05,"-7.85729886E-06
",39.6872,0.0273438,26.0
12,-44.31,0.05,"-5.03903450E-07
",43.8351,0.0507812,26.0
13,-44.31,0.05,"-8.49185582E-06
",42.7798,0.0429688,26.0
14,-50.64,0.05,"-4.60986028E-06
",49.6275,0.0507812,26.0
15,-50.64,0.05,"+3.17287915E-07
",48.1058,0.0390625,26.0
16,-56.97,0.05,"+1.84769001E-06
",57.4324,0.0507812,26.0
17,-56.97,0.05,"-1.51172922E-06
",55.3952,0.0273438,27.0
18,-63.3,0.05,"-3.41540011E-06
",65.8754,0.0390625,27.0
19,-63.3,0.05,"+1.36244056E-06
",62.562,0.0351562,27.0
20,-69.63,0.05,"-1.25044106E-06
",70.956,0.0234375,26.0
21,-69.63,0.05,"+2.89284265E-06
",72.2813,0.0195312,27.0
22,-75.96,0.05,"+9.51844879E-07
",73.6067,0.0507812,27.0
23,-75.96,0.05,"-3.17269049E-07
",79.939,0.0234375,27.0
24,-82.29,0.05,"+1.10115240E-06
",87.3757,0.0390625,27.0
25,-82.29,0.05,"+3.37809210E-06
",91.3518,0.0195312,27.0
26,-88.62,0.05,"+4.38591786E-06
",85.2159,0.0546875,27.0
27,-88.62,0.05,"+4.83384043E-06
",89.4374,0.0351562,27.0
28,-94.95,0.05,"+4.12462970E-06
",91.4009,0.0195312,27.0
29,-94.95,0.05,"+6.36424252E-06
",106.544,0.0,27.0
30,-101.28,0.05,"+6.81216508E-06
",108.999,0.0429688,27.0
31,-101.28,0.05,"+4.12462970E-06
",102.397,0.0507812,27.0
32,-107.61,0.05,"+5.72968555E-06
",106.716,0.0507812,27.0
33,-107.61,0.05,"+6.99879948E-06
",109.907,0.0234375,27.0
34,-113.94,0.05,"+6.58820380E-06
",108.164,0.0351562,27.0
35,-113.94,0.05,"+7.89464461E-06
",109.784,0.0273438,27.0
36,-120.27,0.05,"+8.60385533E-06
",132.904,0.0234375,27.0
37,-120.27,0.05,"+9.61168110E-06
",141.667,0.0429688,27.0
38,-126.6,0.05,"+1.02835649E-05
",126.327,0.0273438,27.0
39,-126.6,0.05,"+9.68633486E-06
",132.193,0.0117188,27.0
40,-132.93,0.05,"+1.07314875E-05
",137.445,0.152344,27.0
41,-132.93,0.05,"+1.08434681E-05
",140.464,0.0195312,27.0
42,-139.26000000000002,0.05,"+1.15526789E-05
",139.948,0.0273438,27.0
43,-139.26000000000002,0.05,"+1.08061413E-05
",130.106,0.148438,27.0
44,-145.59,0.05,"+1.15153520E-05
",128.364,0.167969,27.0
45,-145.59,0.05,"+1.19632746E-05
",140.538,0.0898438,27.0
46,-151.92000000000002,0.05,"+1.31577347E-05
",146.845,0.0546875,27.0
47,-151.92000000000002,0.05,"+1.33443691E-05
",147.213,0.117188,27.0
48,-158.25000000000003,0.05,"+1.45761562E-05
",163.658,0.0195312,27.0
49,-158.25000000000003,0.05,"+1.56959626E-05
",186.434,0.0898438,27.0
