,input_speed,input_torque,voltage,output_speed,output_torque,temp
0,-6.33,1.5,"-1.56017027E-03
",8.29579,1.49609,28.0
1,-12.66,1.5,"-1.56450019E-03
",13.7936,1.48828,28.0
2,-12.66,1.5,"-1.55781867E-03
",13.2045,1.48438,28.0
3,-18.990000000000002,1.5,"-1.56207394E-03
",21.6721,1.5,28.0
4,-18.990000000000002,1.5,"-1.56192463E-03
",18.7514,1.5,28.0
5,-25.32,1.5,"-1.55598966E-03
",24.5192,1.48047,28.0
6,-25.32,1.5,"-1.55610164E-03
",28.1026,1.48047,28.0
7,-31.65,1.5,"-1.55255558E-03
",31.4651,1.51953,28.0
8,-31.65,1.5,"-1.55117449E-03
",32.9377,1.49609,28.0
9,-37.98,1.5,"-1.54296258E-03
",37.4047,1.51172,29.0
10,-37.98,1.5,"-1.54938280E-03
",42.3134,1.51172,29.0
11,-44.31,1.5,"-1.54210406E-03
",44.9396,1.48438,29.0
12,-44.31,1.5,"-1.54049900E-03
",44.1051,1.50391,29.0
13,-50.64,1.5,"-1.54359713E-03
",54.2417,1.44531,29.0
14,-50.64,1.5,"-1.54344783E-03
",56.0088,1.48047,30.0
15,-56.97,1.5,"-1.53661701E-03
",60.2549,1.46875,30.0
16,-56.97,1.5,"-1.53228709E-03
",66.219,1.46875,30.0
17,-63.3,1.5,"-1.53755018E-03
",71.5205,1.50391,30.0
18,-63.3,1.5,"-1.53400412E-03
",63.5192,1.51562,30.0
19,-69.63,1.5,"-1.53430274E-03
",71.7168,1.51172,30.0
20,-69.63,1.5,"-1.53400412E-03
",75.2266,1.45312,30.0
21,-75.96,1.5,"-1.53157788E-03
",82.467,1.48828,30.0
22,-75.96,1.5,"-1.52933826E-03
",77.9264,1.47656,31.0
23,-82.29,1.5,"-1.52859173E-03
",89.3883,1.52734,31.0
24,-82.29,1.5,"-1.52743459E-03
",93.2908,1.48828,31.0
25,-88.62,1.5,"-1.52844242E-03
",92.9226,1.46094,31.0
26,-88.62,1.5,"-1.52642677E-03
",92.849,1.45312,31.0
27,-94.95,1.5,"-1.52657608E-03
",90.5173,1.51172,31.0
28,-94.95,1.5,"-1.52638944E-03
",99.1568,1.42969,31.0
29,-101.28,1.5,"-1.52273141E-03
",106.692,1.53125,31.0
30,-101.28,1.5,"-1.52011853E-03
",102.74,1.57031,32.0
31,-107.61,1.5,"-1.51728168E-03
",118.89,1.40234,32.0
32,-107.61,1.5,"-1.52097704E-03
",107.207,1.46094,32.0
33,-113.94,1.5,"-1.51851347E-03
",122.056,1.46484,32.0
34,-113.94,1.5,"-1.51317573E-03
",129.812,1.44922,32.0
35,-120.27,1.5,"-1.51981991E-03
",121.982,1.39453,32.0
36,-120.27,1.5,"-1.51944664E-03
",120.436,1.45312,32.0
37,-126.6,1.5,"-1.51213057E-03
",145.324,1.36328,33.0
38,-126.6,1.5,"-1.51425821E-03
",135.457,1.42188,33.0
39,-132.93,1.5,"-1.51332503E-03
",146.158,1.30469,33.0
40,-132.93,1.5,"-1.51045086E-03
",145.937,1.5,33.0
41,-139.26000000000002,1.5,"-1.30907234E-03
",153.889,1.36328,33.0
42,-145.59,1.5,"-1.35763462E-03
",150.404,1.38672,34.0
